"x"
"1","Helping families with life insurance is one of the most meaningful things I do. It's an honor @StateFarm has been recognized for the fifth year in a row. Let's get together and talk about your coverage needs. https://t.co/B615ayJRcC"
"2","Life is about making choices and building meaningful relationships.

Make the right choice by surrounding yourself with positive people -- may your choices reflect hope and not your fears. https://t.co/cMtJ0hGxFT"
"3","With life as short as a half taken breath, don't plant anything but love. - Rumi

حب = Love

Jumper from @kakaxxapparel love this with such a meaningful message from a brand with such an amazing story to why they started! Check them out and use my code ‘… https://t.co/kkZNvNUxaD https://t.co/7g6S58Fwao"
"4","#5Jobs
- Pushing carts at supermarket (old people are cool)
- Toilet Cleaning (shit stinks)
- Dog walking (best job in the world)
- Gopher this, Gopher that...(not bad, if you don´t really want to do anything meaningful with your life)
- Package Handler (packages don´t talk back)"
"5","@DaOhGee You need a meaningful emotional bond in your life to give you this sense of joy in a natural and sustainable way. 

Get a cat."
"6","So often we feel behind in tangible things (buying a house, making a certain amount of money, having this many followers) and ignore that real success in life is about using your gifts to help others, while developing meaningful relationships along the way."
"7","There's so much more to life than focusing on just working and accumulating wealth, which we then use as a yardstick to determine our self worth. We're so distracted with this individualistic, consumerist ideology that people don't even have meaningful conversations anymore.."
"8","Never be afraid to pursue a more meaningful life. You’ll go through jobs you dislike, disloyal friends, 
naysayers, losses, rejection and loneliness as you strive towards your dreams. Nevertheless,
continue to stay true, without letting society stop you on your path. #Ereng"
"9","What does it mean to be INTENTIONAL: It means you are purposeful in word and action. It means you live a life that is meaningful and fulfilling to you. It means you make thoughtful choices in your life. Being intentional means you actively interact and engage with your life. https://t.co/3JxWbD6rvq"
"10","@globalnews Drama Boy posing for photo op.  Would be more meaningful if he devoted a day or two to filling sand bags.  Oh sorry, I forgot he likes the easy life on remote islands and beaches."
"11","BLOG: Do you want to volunteer in ways that can have a meaningful impact in a young person's life? Find out how you can help our Youth Supports team and all the work they do with young newcomers in Saint John! #ILoveMyY #YMCABelonging https://t.co/Um7h92fJoJ https://t.co/MZTHN4VOS5"
"12","People without integrity will never be happy, no matter how much they have... (dude, who ever you are I feel sorry for you)... Why not just join and find friends and fill life with meaningful memories?!? https://t.co/zd70fsVQ4S"
"13","@caughtinalie_5 @BTS_twt 1. Volunteer at an elephant  sanctuary. 
2. Live a simple life by a beach, in a country with summer all year round.
3. Find a way to use my writing skills in a meaningful way.   #BBMAsTopSocial BTS @BTS_twt"
"14","A good work life includes:
1. Tools to do your work.
2. Support from your team.
3. Recognition and compensation for your efforts.
4. Meaningful work and co-worker connections.

#worklife #WorkLifeBalance #jobs #bestplacetowork"
"15","Sometimes childrens outcome on matters/life is more meaningful/helpful than we give them credit for. Extremely proud of my daughter these past few days, she has been a godsend and made me look at things in a whole new light. We seem to be doing something right @ice_man_007 ❤️🥰"
"16","This Mother's Day, honor a special mother in your life with a meaningful donation in their name. 

Visit https://t.co/A4aqHXrpT7… and make a tribute gift to HCP for the special mom in your life and a physical card or Ecard will be sent within 24 hours. #cureblindness https://t.co/yey045oeeb"
"17","This Mother's Day, honor a special mother in your life with a meaningful donation in their name. 

Visit https://t.co/1ZiMnMuyHp and make a tribute gift to HCP for the special mom in your life and a physical card or Ecard will be sent within 24 hours. #cureblindness https://t.co/KOfZbQtPth"
"18","Bayelsa  State Assembly approves life pension for themselves.

A state with shameless leaders with no meaningful development . 

Tell your children and grandchildren to continue blaming Hausa and Yoruba for your underdeveloped."
"19","@chuuyabiyou [He digs in his grip and speaks carefully.] 

You’re a short annoying little constant in my life, and you’re someone that I can predictably rely on to not be dead. 

That’s immeasurably meaningful."
"20","You should always approach anything you do in life that is meaningful to you with a certain passion and hunger for it! If you aren’t then you’ve got some  re-evaluating to do about it."
"21","@TjGrocery Absolutely not. Life isn't meaningful enough for that.

Thanks for shopping at TJ Maxx."
"22","“#Challenges are what make life interesting and overcoming them is what makes life meaningful.” -Joshua J. Marine #quote #miami"
"23","Words of wisdom from our president: Your goals in life HAVE to be audacious. They have to be larger and more meaningful than any obstacles in your way. Otherwise, all you will see are the challenges right in front of you, and you won’t continue to push towards what you reall… https://t.co/ki8mgx43Eo"
"24","@mont_all_along @JuliaHB1 @toadmeister @Quillette JHB and friends now going after a 16 year old with Aspergers trying to do something meaningful with her life. It’s impressive if nothing else."
"25","For A Meaningful Life, Get Over Yourself https://t.co/d58dHrI5V5"
"26","Thanks to @CBS for this beautiful remembrance of my spectacular sister Charity who we tragically lost on Monday. She was living proof that one life matters and can make meaningful change in the world.  https://t.co/26uzHwvwRW"
"27","#IHadToGrowUpBecause although I'm a @TomWaits fan and love his song \"I Don't Want to Grow Up\", I disagree. Count your blessings, take chances responsibly, do good for others &amp; achieve all you can.
Life is precious. Make it meaningful.
Now enjoy the song.
https://t.co/AKjYBvf4om"
"28","What's your secret to living a meaningful life? Call, email or tweet us to join the conversation."
"29","What is the key to having a meaningful life? At 1 pm, Op-ed columnist @nytopinion @nytdavidbrooks joins us to talk about how finding happiness can be found in service to others."
"30","\"Challenges are what make life interesting and overcoming them is what makes life meaningful.\""
"31","Helping families with life insurance is one of the most meaningful things I do. It's an honor @StateFarm has been recognized for the fifth year in a row. Let's get together and talk about your coverage needs. https://t.co/98D8qD87sn"
"32","@Morgan_Stewart Imagine thinking that your life is meaningful by having a job like yours."
"33","I'm raising money for Help me to live a meaningful https://t.co/gi3MxXWp2t family.. Click to Donate:  https://t.co/Xw97TNmnIY via @gofundme"
"34","[answer:]
If we're talking values in life we have to pay attention what a life that has values is defined as, and I think not paying attention to the fact that we do not know anything about death, makes it less meaningful. We do not even know that if we or anybody else would be\"
"35","“The more you can show up and be real, the more meaningful your life will be”"
"36","The “System Reform for the End of Life” panel w/ Rob Ence, @deepsrajeev w/ @HealthInsight_ , Camille Collett, &amp; Marti Kullen @Avalon_Care discussed the options to manage this period of time with more grace, better quality, and more meaningful experiences for all involved https://t.co/8BeaFaS0Lk"
"37","Imagine this wt me

Problems makes life meaningful..why?problems is a question in ur life that u need to solve..even the happiest,the richest,the most high,the king have problems..how come it is meaningful?u can learn from it..aside from sakit sya sa ulo,may matutunan karin"
"38","David Friedman to Post: Trump plan is effort to “think out of the box &amp; capture imagination for better life.\" Palestinians deserve to consider meaningful alternative to status quo. “We see value in presenting vision, even if initial Palestinian leadership reaction is negative.”"
"39","@Cheezburger @TheRock Bomber planes, Navy ships, and tanks have always been named by their crews and or the US military.  Just because we have social media now, the snowflakes are melting in self righteousness.  Get a life and find meaningful things to get upset about."
"40","@wraithburn @brainfertilizer @AuburnJulia @AndToddsaid @politifakes @NavalMilk @LShrug Naw man- then they are just dumb. And dumb people don't deserve meaningful lives, right?

So if they made a mistake at 17 when entering college and weren't able to suss out the 3rd order of effects they deserve to live a shitty life."
